ticker;category;isin;description
SHUL4;SHARES;BRSHULACNPR4;SCHULZ S.A.
SILO3;SHARES;BRSILOACNOR8;CIA DE ARMAZENS E SILOS DO EST MG-CASEMG
SILO4;SHARES;BRSILOACNPR5;CIA DE ARMAZENS E SILOS DO EST MG-CASEMG
SIMN34;BDR;BRSIMNBDR002;SIMON PROPERTY GROUP INC
SIMR7;SHARES;BRSIMRACNPC8;SIDERÚRGICA NORTE BRASIL S.A.
SLBC34;BDR;BRSLBCBDR002;STERLING BANCORP
SLBG34;BDR;BRSLBGBDR003;SCHLUMBERGER LIMITED
SLCE3;SHARES;BRSLCEACNOR2;SLC AGRICOLA S.A.
SLCT3B;SHARES;BRSLCTACNOR0;Inncorp S.A.
SLED3;SHARES;BRSLEDACNOR0;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL
SLED4;SHARES;BRSLEDACNPR7;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL
SMFT3;SHARES;BRSMFTACNOR1;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.
SMLS3;SHARES;BRSMLSACNOR1;SMILES FIDELIDADE S.A.
SMTO3;SHARES;BRSMTOACNOR3;SAO MARTINHO S.A.
SNEC34;BDR;BRSNECBDR002;SONY CORP
SNSY3;SHARES;BRSNSYACNOR2;SANSUY S.A. INDUSTRIA DE PLASTICOS
SNSY5;SHARES;BRSNSYACNPA5;SANSUY S.A. INDUSTRIA DE PLASTICOS
SNSY6;SHARES;BRSNSYACNPB3;SANSUY S.A. INDUSTRIA DE PLASTICOS
SOND3;SHARES;BRSONDACNOR5;SONDOTECNICA ENGENHARIA SOLOS S.A.
SOND5;SHARES;BRSONDACNPA8;SONDOTECNICA ENGENHARIA SOLOS S.A.
SOND6;SHARES;BRSONDACNPB6;SONDOTECNICA ENGENHARIA SOLOS S.A.
SPAF11;FUNDS;BRSPAFCTF007;SPA FDO INV IMOB - FII
SPCI6;SHARES;BRSPCIACNPB5;SOCIEDADE DE PARTICIP. CIMENTEIRAS S.A.
SPCR3;SHARES;BRSPCRACNOR5;SPE CRISTINA S.A.
SPFM12;FUNDS;BRSPFMCTF028;SP FILMES DE SAO PAULO LTDA
SPGI34;BDR;BRSPGIBDR009;S&P GLOBAL INC
SPRI11;SHARES;BRSPRIA03OR9;SPRINGER S.A.
SPRI3;SHARES;BRSPRIACNOR2;SPRINGER S.A.
SPRI5;SHARES;BRSPRIACNPA5;SPRINGER S.A.
SPRI6;SHARES;BRSPRIACNPB3;SPRINGER S.A.
SPTW11;FUNDS;BRSPTWCTF002;SP DOWNTOWN FDO INV IMOB - FII
SPVJ11;FUNDS;BRSPVJCTF005;FUND. INVEST. IMOB. SUCCESPAR VAREJO
SQIA3;SHARES;BRSQIAACNOR6;SINQIA S.A.
SRXM34;BDR;BRSRXMBDR002;SIRIUS XM HOLDINGS INC
SSFO34;BDR;BRSSFOBDR003;SALESFORCE.COM, INC.
STAL6;SHARES;BRSTALACNPB5;SETAL TELECOM S.A.
STBP3;SHARES;BRSTBPACNOR3;SANTOS BRASIL PARTICIPACOES S.A.
STDS11;FUNDS;BRSTDSCTF014;START DESENHOS ANIMADOS LTDA.
STKF3;SHARES;BRSTKFACNOR5;STATKRAFT ENERGIAS RENOVAVEIS S.A.
STMN34;BDR;BRSTMNBDR009;STMICROELECTRONICS NV
STRX11;FUNDS;BRSTRXCTF006;STARX FDO INV IMOB - FII
STTR3;SHARES;BRSTTRACNOR1;STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS
STZB34;BDR;BRSTZBBDR006;CONSTELLATION BRANDS INC
SULA11;UNIT;BRSULACDAM12;SUL AMERICA S.A.
SULA11F;UNIT;BRSULACDAM12;SUL AMERICA S.A.
SULA3;SHARES;BRSULAACNOR2;SUL AMERICA S.A.
SULA4;SHARES;BRSULAACNPR9;SUL AMERICA S.A.
SUPF12;FUNDS;BRSUPFCTF021;CINEMATOGRAFICA SUPERFILMES LTDA
SUZB3;SHARES;BRSUZBACNOR0;SUZANO S.A.
SVPH7;SHARES;BRSVPHACNPC5;SALVADOR PRAIA HOTEL S.A.
T1DG34;BDR;BRT1DGBDR003;TRANSDIGM GROUP INC
T1EC34;BDR;BRT1ECBDR000;TechnipFMC PLC
T1EL34;BDR;BRT1ELBDR001;TE CONNECTIVITY LTD
T1FX34;BDR;BRT1FXBDR003;TELEFLEX INC
T1MU34;BDR;BRT1MUBDR005;T-MOBILE US INC
T1OW34;BDR;BRT1OWBDR007;AMERICAN TOWER CORP
T1RI34;BDR;BRT1RIBDR009;TRIPADVISOR INC
T1RO34;BDR;BRT1ROBDR007;T ROWE PRICE GROUP INC
T1SC34;BDR;BRT1SCBDR000;TRACTOR SUPPLY CO
T1SO34;BDR;BRT1SOBDR005;THE SOUTHERN CO
T1TW34;BDR;BRT1TWBDR006;TAKE-TWO INTERACTIVE SOFTWARE INC
T1XT34;BDR;BRT1XTBDR004;TEXTRON INC
TAEE11;UNIT;BRTAEECDAM10;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TAEE11F;UNIT;BRTAEECDAM10;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TAEE3;SHARES;BRTAEEACNOR9;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TAEE4;SHARES;BRTAEEACNPR6;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TAKP34;BDR;BRTAKPBDR006;TAKEDA PHARMACEUTICAL CO LTD
TASA3;SHARES;BRTASAACNOR7;TAURUS ARMAS S.A.
TASA4;SHARES;BRTASAACNPR4;TAURUS ARMAS S.A.
TBOF11;FUNDS;BRTBOFCTF006;FDO INV IMOB - FII TB OFFICE
TCNO3;SHARES;BRTCNOACNOR5;TECNOSOLO ENGENHARIA S.A.
TCNO4;SHARES;BRTCNOACNPR2;TECNOSOLO ENGENHARIA S.A.
TCPF11;FUNDS;BRTCPFCTF001;TREECORP REAL ESTATE FDO INV IMOB - I
TCQC3;SHARES;BRTCQCACNOR3;INDUSTRIA CARBOQUIMICA CATARINENSE S/A
TCQC4;SHARES;BRTCQCACNPR0;INDUSTRIA CARBOQUIMICA CATARINENSE S/A
TCSA3;SHARES;BRTCSAACNOR3;TECNISA S.A.
TECN3;SHARES;BRTECNACNOR6;TECHNOS S.A.
TEKA3;SHARES;BRTEKAACNOR6;TEKA-TECELAGEM KUEHNRICH S.A.
TEKA4;SHARES;BRTEKAACNPR3;TEKA-TECELAGEM KUEHNRICH S.A.
TELB3;SHARES;BRTELBACNOR2;TELEC BRASILEIRAS S.A. TELEBRAS
TELB4;SHARES;BRTELBACNPR9;TELEC BRASILEIRAS S.A. TELEBRAS
TELD11;FUNDS;BRTELDCTF001;TELLUS DESENVOLVIMENTO LOGÍSTICO FDO. INVEST. IMOB
TEND3;SHARES;BRTENDACNOR4;CONSTRUTORA TENDA S.A.
TEPP11;FUNDS;BRTEPPCTF006;TELLUS PROPERTIES - FDO INV. IMOB
TESA3;SHARES;BRTESAACNOR9;TERRA SANTA AGRO S.A.
TEXA34;BDR;BRTEXABDR003;TEXAS INSTRUMENTS INC.
TGAR11;FUNDS;BRTGARCTF009;FDO INV IMOB TG ATIVO REAL
TGMA3;SHARES;BRTGMAACNOR7;TEGMA GESTAO LOGISTICA S.A.
TGTB34;BDR;BRTGTBBDR004;TARGET CORP
THGI34;BDR;BRTHGIBDR004;HANOVER INSURANCE GROUP INC
THRA11;FUNDS;BRTHRACTF007;FDO INV IMOB - FII CYRELA THERA CORPORATE
TIET11;UNIT;BRTIETCDAM15;AES TIETE ENERGIA SA
TIET11F;UNIT;BRTIETCDAM15;AES TIETE ENERGIA SA
TIET3;SHARES;BRTIETACNOR0;AES TIETE ENERGIA SA
TIET4;SHARES;BRTIETACNPR7;AES TIETE ENERGIA SA
TIFF34;BDR;BRTIFFBDR000;TIFFANY CO
TIMP3;SHARES;BRTIMPACNOR1;TIM PARTICIPACOES S.A.
TIPR11;FUNDS;BRTIPRCTF011;TIETE PROD. CINEMATOGRAFICAS LTDA
TJXC34;BDR;BRTJXCBDR008;TJX COMPANIES INC
TKNO3;SHARES;BRTKNOACNOR8;TEKNO S.A. - INDUSTRIA E COMERCIO
TKNO4;SHARES;BRTKNOACNPR5;TEKNO S.A. - INDUSTRIA E COMERCIO
TLNC34;BDR;BRTLNCBDR005;TELEFONICA SA
TMCO34;BDR;BRTMCOBDR001;TOYOTA MOTOR CORP.
TMFI11;FUNDS;BRTMFICTF005;FDO INV IMOB TM - FII
TMOS34;BDR;BRTMOSBDR007;THERMO FISHER SCIENTIFIC, INC.
TOGA11;SHARES;BRTOGAA01OR4;TOGA EMPREENDIMENTOS HOTELEIROS S.A.
TORD11;FUNDS;BRTORDCTF015;TORDESILHAS EI FDO. INV. IMOB.
TORM13;FUNDS;BRTORMCTF024;FDO INV IMOB TOURMALET I
TORM14;FUNDS;BRTORMCTF032;FDO INV IMOB TOURMALET I
TOTS3;SHARES;BRTOTSACNOR8;TOTVS S.A.
TOUR11;FUNDS;BRTOURCTF001;FDO INV IMOB TOURMALET II
TOUR12;FUNDS;BRTOURCTF019;FDO INV IMOB TOURMALET II
TOUR13;FUNDS;BRTOURCTF027;FDO INV IMOB TOURMALET II
TPIS3;SHARES;BRTPISACNOR8;TPI - TRIUNFO PARTICIP. E INVEST. S.A.
TPRY34;BDR;BRTPRYBDR001;TAPESTRY INC
TRBR3;SHARES;BRTRBRACNOR1;TRANSBRASIL S.A. LINHAS AEREAS
TRBR4;SHARES;BRTRBRACNPR8;TRANSBRASIL S.A. LINHAS AEREAS
TREG3;SHARES;BRTREGACNOR8;TANGARA ENERGIA S.A.
TRIS3;SHARES;BRTRISACNOR4;TRISUL S.A.
TRNT11;FUNDS;BRTRNTCTF013;FDO INV IMOB - FII TORRE NORTE
TRPL3;SHARES;BRTRPLACNOR4;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA
TRPL4;SHARES;BRTRPLACNPR1;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA
TRVC34;BDR;BRTRVCBDR005;THE TRAVELERS COMPANIES, INC
TRXB11;FUNDS;BRTRXBCTF002;TRX REAL ESTATE II FDO. INVEST. IMOB.
TRXF11;FUNDS;BRTRXFCTF003;TRX REAL ESTATE FDO. INV. IMOB. - FII
TSLA34;BDR;BRTSLABDR008;TESLA, INC
TSMC34;BDR;BRTSMCBDR002;TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
TSNC11;FUNDS;BRTSNCCTF009;TRANSINC FDO INV IMOB - FII
TSNF34;BDR;BRTSNFBDR003;TYSON FOODS INC
TUPY3;SHARES;BRTUPYACNOR1;TUPY S.A.
TVIT3;SHARES;BRTVITACNOR4;TIVIT TERC. DE PROC., SERV. E TEC. S.A.
TVOP11;FUNDS;BRTVOPCTF011;T. V. O. PRODUCOES AUDIOVISUAIS LTDA.
TWTR34;BDR;BRTWTRBDR007;TWITTER, INC.
TXBZ11;SHARES;BRTXBZA02OR1;TBM - TEXTIL BEZERRA DE MENEZES S.A.
TXBZ5;SHARES;BRTXBZACNPA5;TBM - TEXTIL BEZERRA DE MENEZES S.A.
TXRX11;SHARES;BRTXRXA01OR4;TEXTIL RENAUXVIEW S.A.
TXRX3;SHARES;BRTXRXACNOR3;TEXTIL RENAUXVIEW S.A.
TXRX4;SHARES;BRTXRXACNPR0;TEXTIL RENAUXVIEW S.A.
TXSA34;BDR;BRTXSABDR003;TERNIUM SA
U1AI34;BDR;BRU1AIBDR002;UNDER ARMOUR INC
U1AL34;BDR;BRU1ALBDR006;UNITED AIRLINES HOLDINGS INC
U1BE34;BDR;BRU1BEBDR009;UBER TECHNOLOGIES INC
U1DR34;BDR;BRU1DRBDR007;UDR INC
U1HS34;BDR;BRU1HSBDR006;UNIVERSAL HEALTH SERVICES INC
U1LT34;BDR;BRU1LTBDR006;ULTA BEAUTY INC
U1NM34;BDR;BRU1NMBDR007;UNUM GROUP
U1RI34;BDR;BRU1RIBDR006;UNITED RENTALS INC
UBSF11;FUNDS;BRUBSFCTF005;FDO INV IMOB - FII UBS (BR) FUNDOS IMOBILIÁRIOS
UBSG34;BDR;BRUBSGBDR004;UBS GROUP AG
UBSR11;FUNDS;BRUBSRCTF000;FDO INV IMOB - FII UBS (BR) RECEB IMOB
UCAS3;SHARES;BRUCASACNOR1;UNICASA INDÚSTRIA DE MÓVEIS S.A.
UGPA3;SHARES;BRUGPAACNOR8;ULTRAPAR PARTICIPACOES S.A.
ULEV34;BDR;BRULEVBDR002;UNILEVER PLC
UNHH34;BDR;BRUNHHBDR000;UNITEDHEALTH GROUP INC
UNIP3;SHARES;BRUNIPACNOR7;UNIPAR CARBOCLORO S.A.
UNIP5;SHARES;BRUNIPACNPA0;UNIPAR CARBOCLORO S.A.
UNIP6;SHARES;BRUNIPACNPB8;UNIPAR CARBOCLORO S.A.
UPAC34;BDR;BRUPACBDR001;UNION PACIFIC CORPORATION
UPKP3B;SHARES;BRUPKPACNOR8;UPTICK PARTICIPACOES S.A.
UPSS34;BDR;BRUPSSBDR009;UNITED PARCEL SERVICE, INC.
URPR11;FUNDS;BRURPRCTF002;URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO
USAT4;SHARES;BRUSATACNPR2;USATI PARTICIPACOES PORTUARIAS S.A.
USBC34;BDR;BRUSBCBDR003;U.S. BANCORP
USIM3;SHARES;BRUSIMACNOR3;USINAS SID DE MINAS GERAIS S.A.-USIMINAS
USIM5;SHARES;BRUSIMACNPA6;USINAS SID DE MINAS GERAIS S.A.-USIMINAS
USIM6;SHARES;BRUSIMACNPB4;USINAS SID DE MINAS GERAIS S.A.-USIMINAS
USSX34;BDR;BRUSSXBDR003;UNITED STATES STEEL CORPORATION
V1AR34;BDR;BRV1ARBDR002;VARIAN MEDICAL SYSTEMS INC
V1MC34;BDR;BRV1MCBDR009;VULCAN MATERIALS CO
V1NO34;BDR;BRV1NOBDR002;VORNADO REALTY TRUST
V1RS34;BDR;BRV1RSBDR004;VERISK ANALYTICS INC
V1TA34;BDR;BRV1TABDR008;VENTAS INC
VALE3;SHARES;BRVALEACNOR0;VALE S.A.
VAMO3;SHARES;BRVAMOACNOR7;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIP. S.A.
VCJR11;FUNDS;BRVCJRCTF005;VECTIS JUROS REAL FDO INV. IMOB. - FII
VECF3;SHARES;BRVECFACNOR8;VALEC - ENG.CONSTRUCOES E FERROVIAS S.A.
VERE11;FUNDS;BRVERECTF002;FDO INV IMOB VEREDA - FII
VERZ34;BDR;BRVERZBDR008;VERIZON COMMUNICATIONS INC.
VFCO34;BDR;BRVFCOBDR001;VF CORP
VGIP11;FUNDS;BRVGIPCTF002;VALORA CRI ÍNDICE DE PREÇO FDO INVEST. IMOB. FII
VGIR11;FUNDS;BRVGIRCTF008;VALORA RE III FDO INV IMOB - FII
VIDS11;FUNDS;BRVIDSCTF003;VIC DESENVOLVIMENTO VINTAGE 20/21 FUND INVEST IMOB
VIFI11;FUNDS;BRVIFICTF009;VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB - FII
VIGT11;FUNDS;BRVIGTCTF004;VINCI ENERGIA FDO INV PART IE
VILG11;FUNDS;BRVILGCTF001;VINCI LOGÍSTICA FDO INV IMOB - FII
VINO11;FUNDS;BRVINOCTF001;VINCI OFFICES FDO INV IMOB
VISA34;BDR;BRVISABDR000;VISA INC.
VISC11;FUNDS;BRVISCCTF005;VINCI SHOPPING CENTERS FDO INVEST IMOB - FII
VIVA3;SHARES;BRVIVAACNOR0;VIVARA PARTICIPAÇOES S.A
VIVR3;SHARES;BRVIVRACNOR4;VIVER INCORPORADORA E CONSTRUTORA S.A.
VIVT3;SHARES;BRVIVTACNOR0;TELEFÔNICA BRASIL S.A
VIVT4;SHARES;BRVIVTACNPR7;TELEFÔNICA BRASIL S.A
VLID3;SHARES;BRVLIDACNOR5;VALID SOLUÇÕES S.A.
VLJS11;FUNDS;BRVLJSCTF020;VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB
VLJS12;FUNDS;BRVLJSCTF012;VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB
VLJS13;FUNDS;BRVLJSCTF038;VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB
VLOE34;BDR;BRVLOEBDR005;VALERO ENERGY CORPORATION
VLOL11;FUNDS;BRVLOLCTF009;FDO INV IMOB - FII VILA OLÍMPIA CORPORATE
VLPN3;SHARES;BRVLPNACNOR9;ELETRICIDADE VALE PARANAPANEMA S.A.
VLYB34;BDR;BRVLYBBDR000;VALLEY NATIONAL BANCORP
VOTS11;FUNDS;BRVOTSCTF007;VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII
VPSI11;FUNDS;BRVPSICTF007;FDO INV IMOB POLO SHOPPING INDAIATUBA
VRSN34;BDR;BRVRSNBDR004;VERISIGN INC
VRTA11;FUNDS;BRVRTACTF008;FATOR VERITA FDO INV IMOB - FII
VRTX34;BDR;BRVRTXBDR001;VERTEX PHARMACEUTICALS INC
VSEC11;FUNDS;BRVSECCTF004;FDO INV IMOB VOTORANTIM SECURITIES
VSHO11;FUNDS;BRVSHOCTF002;FDO INV IMOB VOTORANTIM SHOPPING
VSPT3;SHARES;BRVSPTACNOR1;FERROVIA CENTRO-ATLANTICA S.A.
VSPT4;SHARES;BRVSPTACNPR8;FERROVIA CENTRO-ATLANTICA S.A.
VTLT11;FUNDS;BRVTLTCTF001;FDO INV IMOB VOTORANTIM LOGISTICA
VTPA11;FUNDS;BRVTPACTF002;FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V
VTPL11;FUNDS;BRVTPLCTF009;FDO INV. IMOB. PLUS
VTVI11;FUNDS;BRVTVICTF003;PARKING PARTNERS FDO. INVEST. IMOB.
VTXI11;FUNDS;BRVTXICTF009;FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII
VULC3;SHARES;BRVULCACNOR2;VULCABRAS/AZALEIA S.A.
VVAR3;SHARES;BRVVARACNOR1;VIA VAREJO S.A.
VVPR11;FUNDS;BRVVPRCTF002;FDO INV IMOB - V2 PROPERTIES
VXXV11;FUNDS;BRVXXVCTF004;VX XVI - FDO INV. IMOB.
W1AB34;BDR;BRW1ABBDR005;WABTEC CORP
W1DA34;BDR;BRW1DABDR001;WORKDAY INC
W1DC34;BDR;BRW1DCBDR007;WESTERN DIGITAL CORP
W1EC34;BDR;BRW1ECBDR005;WEC ENERGY GROUP INC
W1EL34;BDR;BRW1ELBDR006;WELLTOWER INC
W1HR34;BDR;BRW1HRBDR006;WHIRLPOOL CORP
W1LT34;BDR;BRW1LTBDR004;WILLIS TOWERS WATSON PLC
W1MB34;BDR;BRW1MBBDR000;THE WILLIAMS COS INC
W1MC34;BDR;BRW1MCBDR008;WASTE MANAGEMENT INC
W1RK34;BDR;BRW1RKBDR000;WESTROCK CO
W1YC34;BDR;BRW1YCBDR003;WEYERHAEUSER CO
W1YN34;BDR;BRW1YNBDR000;WYNN RESORTS LTD
WABC34;BDR;BRWABCBDR007;WESTERN ALLIANCE BANCORPORATION
WALM34;BDR;BRWALMBDR005;WALMART INC.
WATC34;BDR;BRWATCBDR009;WATERS CORP
WEGE3;SHARES;BRWEGEACNOR0;WEG S.A.
WFCO34;BDR;BRWFCOBDR009;WELLS FARGO & COMPANY
WGBA34;BDR;BRWGBABDR008;WALGREENS BOOTS ALLIANCE INC
WHRL3;SHARES;BRWHRLACNOR5;WHIRLPOOL S.A.
WHRL4;SHARES;BRWHRLACNPR2;WHIRLPOOL S.A.
WIRE3;SHARES;BRWIREACNOR8;WIREX CABLE S.A.
WIZS3;SHARES;BRWIZSACNOR1;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.
WLMM3;SHARES;BRWLMMACNOR6;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.
WLMM4;SHARES;BRWLMMACNPR3;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.
WPLZ11;FUNDS;BRWPLZCTF004;SHOPPING WEST PLAZA FDO INV IMOB
WSON33;BDR;BRWSONBDR009;WILSON SONS LTD.
WTSP11B;FUNDS;BRWTSPCTF002;FDO INV IMOB - OURINVEST RE I
WUNI34;BDR;BRWUNIBDR007;THE WESTERN UNION COMPANY
X1EL34;BDR;BRX1ELBDR005;XCEL ENERGY INC
X1LN34;BDR;BRX1LNBDR006;XILINX INC
X1YL34;BDR;BRX1YLBDR003;XYLEM INC
XPCE11;FUNDS;BRXPCECTF006;XPCE RE FDO INV IMOB
XPCI11;FUNDS;BRXPCICTF007;XP CREDITO IMOBILIÁRIO - FDO INV IMOB
XPCM11;FUNDS;BRXPCMCTF009;XP CORPORATE MACAÉ FDO INV IMOB - FII
XPHT11;FUNDS;BRXPHTCTF003;XP HOTÉIS - FDO INV IMOB - FII
XPHT12;FUNDS;BRXPHTCTF011;XP HOTÉIS - FDO INV IMOB - FII
XPHT13;FUNDS;BRXPHTCTF029;XP HOTÉIS - FDO INV IMOB - FII
XPIE11;FUNDS;BRXPIECTF003;XP INFRA II FDO DE INV PART IE
XPIN11;FUNDS;BRXPINCTF004;XP INDUSTRIAL FDO INV IMOB - FII
XPLG11;FUNDS;BRXPLGCTF002;XP LOG FDO INV IMOB - FII
XPML11;FUNDS;BRXPMLCTF000;XP MALLS FDO INV IMOB FII
XPOM11;FUNDS;BRXPOMCTF004;FDO INV PART IE XP OMEGA I
XPPR11;FUNDS;BRXPPRCTF000;XP PROPERTIES FDO. INV. IMOB.
XPSF11;FUNDS;BRXPSFCTF009;XP SELECTION FDO DE FUNDOS INV IMOB - FII
XRAY34;BDR;BRXRAYBDR005;DENTSPLY SIRONA INC
XRXB34;BDR;BRXRXBBDR005;XEROX HOLDINGS CORPORATION
XTED11;FUNDS;BRXTEDCTF006;TRX EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII
YCHY11;FUNDS;BRYCHYCTF009;RIZA ARCTIUM REAL ESTATE FDO INV IMOB
YDUQ3;SHARES;BRYDUQACNOR3;YDUQS PARTICIPACOES S.A.
YOUC3;SHARES;BRYOUCACNOR0;YOU INC INCORPORADORA E PARTICIPAÇÕES S.A.
YPEA11;FUNDS;BRYPEACTF016;YPEARTS AUDIOVISUAL LTDA.
YUMR34;BDR;BRYUMRBDR006;YUM BRANDS INC
Z1BH34;BDR;BRZ1BHBDR007;ZIMMER BIOMET HOLDINGS INC
Z1IO34;BDR;BRZ1IOBDR008;ZIONS BANCORPORATION NA
Z1TS34;BDR;BRZ1TSBDR006;ZOETIS INC